table_schema,table_name,approx_rows
factset_common,region_map,0
factset_common,relationship_type_map,0
factset_common,resolution_map,0
factset_common,sc_ship_unit_map,0
factset_common,shrk_advisor_type_map,0
factset_common_old,sym_address,0
factset_common_old,affiliate_type_map,0
factset_common_old,asset_class_map,0
factset_common_old,audit_type_map,0
factset_common_old,ca_div_freq_qual_map,0
factset_common_old,ca_div_type_map,0
factset_common_old,ca_event_type_map,0
factset_common_old,ce_audio_source_map,0
factset_common_old,ce_event_type_map,0
factset_common_old,ce_fiscal_period_map,0
factset_common_old,ce_market_time_map,0
factset_common_old,cic_classification_map,0
factset_common_old,country_coord_map,0
factset_common_old,country_map,0
factset_common_old,dcs_category_map,0
factset_common_old,dcs_coupon_map,0
factset_common_old,dcs_debt_map,0
factset_common_old,dcs_fiscal_year_map,0
factset_common_old,dcs_reporting_period_map,0
factset_common_old,dcs_seniority_map,0
factset_common_old,dcs_summary_map,0
factset_common_old,econ_category_map,0
factset_common_old,econ_concept_map,0
factset_common_old,econ_country_inclusion,0
factset_common_old,econ_event_type_map,0
factset_common_old,econ_frequency_map,0
factset_common_old,econ_importance_ind_map,0
factset_common_old,econ_indicator_map,0
factset_common_old,econ_region_map,0
factset_common_old,econ_source_map,0
factset_common_old,econ_subcategory_map,0
factset_common_old,econ_unit_amounts_map,0
factset_common_old,edm_standard_address,0
factset_common_old,edm_standard_entity,0
factset_common_old,edm_standard_entity_identifiers,0
factset_common_old,edm_standard_entity_naics_rank,0
factset_common_old,edm_standard_entity_structure,0
factset_common_old,ekey_category_map,0
factset_common_old,ekey_source_map,0
factset_common_old,ekey_subcategory_map,0
factset_common_old,entity_profile_type_map,0
factset_common_old,entity_relation_type_map,0
factset_common_old,entity_status_map,0
factset_common_old,entity_sub_type_map,0
factset_common_old,entity_type_map,0
factset_common_old,etf_fund_category_map,0
factset_common_old,etf_fund_focus_map,0
factset_common_old,etf_fund_niche_map,0
factset_common_old,etf_geo_exposure_map,0
factset_common_old,etf_legal_struct_map,0
factset_common_old,etf_select_crit_map,0
factset_common_old,etf_strategy_map,0
factset_common_old,etf_weight_scheme_map,0
factset_common_old,factset_industry_map,0
factset_common_old,factset_sector_map,0
factset_common_old,fe_actualflag_map,0
factset_common_old,fe_cmtsubid_map,0
factset_common_old,fe_item,0
factset_common_old,fe_item_map,0
factset_common_old,fe_revisionflag_map,0
factset_common_old,ff_accounting_standard_map,0
factset_common_old,ff_auditor_opinion_map,0
factset_common_old,ff_balance_model,0
factset_common_old,ff_balance_model_ind,0
