"k_asked","k_kept","logLik","BIC"
2,2,388442.300921556,-775597.854651073
3,3,442589.305700602,-883243.503220926
4,4,485723.207931626,-968862.946694738
5,5,514991.290087019,-1026750.75001729
6,6,566964.437292023,-1130048.68343906
7,7,583938.292424526,-1163348.03271583
8,8,630552.851838539,-1255928.79055561
9,9,657037.80818679,-1308250.34226388
10,10,660177.954206963,-1313882.27331599
11,11,711067.950837605,-1415013.90558903
12,12,729654.946448071,-1451539.53582173
