"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"009ZW1-E","HF",12,12,1,0,1,-1,-1,1,0,1,"too short to classify"
"009ZWN-E","HF",12,43,16,16,32,14,15,1.14285714285714,1.06666666666667,32,"quarterly"
"009ZY7-E","HF",22,42,9,7,16,14,14,0.642857142857143,0.5,21,"intermittent"
"009ZZ4-E","HF",12,12,1,0,1,6,5,0.166666666666667,0,1,"intermittent"
"009ZZC-E","HF",54,55,1,1,2,20,21,0.05,0.0476190476190476,2,"intermittent"
"009ZZY-E","HF",12,85,24,25,49,35,36,0.685714285714286,0.694444444444444,74,"intermittent"
"00B000-E","HF",12,20,5,4,9,1,0,5,4,9,"too short to classify"
"00B002-E","HF",14,71,15,14,29,28,29,0.535714285714286,0.482758620689655,58,"intermittent"
"00B005-E","HF",12,85,12,13,25,35,36,0.342857142857143,0.361111111111111,74,"intermittent"
"00B016-E","HF",12,58,24,23,47,22,22,1.09090909090909,1.04545454545455,47,"quarterly"
"00B01Y-E","HF",13,85,24,27,51,33,33,0.727272727272727,0.818181818181818,73,"intermittent"
"00B10N-E","HF",12,12,1,0,1,-1,-1,1,0,1,"too short to classify"
"00B182-E","HF",4,85,41,41,82,35,36,1.17142857142857,1.13888888888889,82,"quarterly"
"00B218-E","HF",18,23,3,3,6,4,5,0.75,0.6,6,"intermittent"
"00B53X-E","HF",28,85,29,29,58,35,36,0.828571428571429,0.805555555555556,58,"quarterly"
"00B705-E","HF",13,39,13,14,27,12,13,1.08333333333333,1.07692307692308,27,"quarterly"
"00BBJQ-E","HF",23,48,5,7,12,15,14,0.333333333333333,0.5,26,"intermittent"
"00BC1Y-E","HF",12,12,1,0,1,-1,-1,1,0,1,"too short to classify"
"00BCTJ-E","HF",46,85,13,14,27,33,33,0.393939393939394,0.424242424242424,40,"intermittent"
"00BF4F-E","HF",1,40,20,20,40,20,20,1,1,40,"quarterly"
"00BFVW-E","HF",44,74,15,15,30,30,30,0.5,0.5,31,"intermittent"
