"k_asked","k_kept","logLik","BIC"
2,2,287913.767970352,-574540.788748664
3,3,348773.7914559,-695612.474731524
4,4,402594.061486228,-802604.653803942
5,5,449102.500120686,-894973.170084622
6,6,488427.21390488,-972974.236664771
7,7,536390.513827314,-1068252.4755214
8,8,541959.89982243,-1078742.8865234
9,9,596473.560432413,-1187121.84675513
10,10,617114.827619943,-1227756.02014195
11,11,634474.151233212,-1261826.30638025
12,12,669612.242778547,-1331454.12848268
