"quarter","n_investors","n_issuers","n_positions","med_assets","q25_assets","q75_assets","pct_over_62","CEF","ETF","HF","OEF","VAR"
2022-12-31,29115,16322,4190973,58,37,107,46.4949338828782,358,5001,681,22086,989
2023-03-31,21158,13853,3457309,57,37,115,45.4485301068154,302,4302,664,14868,1022
2023-06-30,29751,16611,4325132,57,37,110,45.7497226983967,389,5116,661,22567,1018
2023-09-30,20911,13639,3508831,57,38,118,45.6697431973602,267,4533,657,14435,1019
2023-12-31,30984,17226,4560645,57,37,114,46.0979860573199,389,5503,657,23413,1022
2024-03-31,21373,14399,3657824,58,38,116,46.4745239320638,274,4702,664,14720,1013
2024-06-30,32319,18064,4838972,55,37,101,43.5749868498407,432,5693,671,24493,1030
2024-09-30,23106,15384,3970986,58,38,115,45.9274647277763,292,5043,653,16104,1014
2024-12-31,32563,17819,4816909,54,37,101,43.2146915210515,408,6111,694,24313,1037
2025-03-31,22827,14887,3897447,58,38,118,46.786699960573,277,5269,680,15591,1010
2025-06-30,32639,18186,4984315,57,38,104,45.4670792610068,424,6650,693,23866,1006
2025-09-30,23386,15482,4049659,59,38,119,47.164970495168,283,5608,713,15786,996
2025-12-31,32389,18615,5044488,58,38,108,46.1205964988113,396,7050,752,23187,1004
2026-03-31,21478,14757,3735842,60,38,124,47.8349939472949,265,5905,758,13569,981
