"k_asked","k_kept","logLik","BIC"
2,2,147164.216970556,-293233.858216374
3,3,176544.062489758,-351442.018850841
4,4,197921.692004004,-393645.747475397
5,5,213902.88650181,-425056.60606707
6,6,225133.832429467,-446966.967518447
7,6,225133.847601258,-446966.997862029
8,7,251960.39796545,-500068.568186475
9,6,243007.290996072,-482713.884651658
10,7,251960.522265879,-500068.816787334
11,7,251960.49426005,-500068.760775675
12,7,251960.48765575,-500068.747567077
