"k_asked","k_kept","logLik","BIC"
2,2,309569.230690035,-617862.979066973
3,3,363891.816292144,-725865.465384745
4,4,415181.991551609,-827803.13101723
5,5,454877.813230756,-906552.089489079
6,6,494299.399281845,-984752.576704813
7,7,517509.381198813,-1030529.8556523
8,8,536679.829788229,-1068228.06794469
9,9,555716.996472953,-1105659.71642769
10,10,574230.114032447,-1142043.26666024
11,11,623158.067434701,-1239256.4885783
12,12,639158.339887551,-1270614.34859756
