"cluster","Aggressive Growth","Deep Value","GARP","Growth","Index","Value","Yield"
1,9.1,4.6,1.2,31.1,28.7,24.2,1
2,0,0,0,97,3,0,0
3,0.6,0,0,21.3,78.1,0,0
4,22.8,3.2,8.3,26.7,20.8,9.7,8.5
5,14.6,0,0.8,44.3,39.3,0.9,0
6,13.8,2.6,2.6,19.8,41.3,18,2
7,0,2,8.3,13.4,35.5,15.3,25.6
