"cluster","Aggressive Growth","Deep Value","GARP","Growth","Index","Value","Yield"
1,28.8,1.4,6.6,37.3,8.9,10.6,6.4
2,13,0.9,3.1,38.1,24.6,11.6,8.7
3,23.1,0.6,6.8,39.7,15.3,8.1,6.4
4,13.7,1.8,3.4,19.6,26.2,8.7,26.7
5,47.6,0.3,5,33.6,2.6,6.1,4.8
6,17.3,0.4,2.8,37.5,33.1,3.3,5.6
7,27.5,0.1,10.3,31.5,23.8,5.9,0.9
8,25.8,0.3,7.2,31.8,18.3,6.9,9.7
9,1,0.1,78.9,4.4,13.2,2.4,0
10,28,2.3,7.1,29.8,16.2,11.2,5.3
11,13.7,2.9,9.8,24.2,29.3,14.5,5.7
12,1.8,0,0,17.9,78.8,0.4,1.1
